num;country;X1;X2;X3;X4;X5;X6
1;Россия;55;3,9;30;5;28;124
2;Австралия;100;2,6;47;8,2;121;87
3;Австрия;93;5,3;37;12;146;74
4;Азербайджан;20;4,1;12,4;7,9;52;141
5;Армения;20;3,7;4,3;6,5;72;134
6;Беларусь;72;3,6;28;5,4;38;120
7;Бельгия;85;6,9;48;11;83;72
8;Болгария;65;3;18;9,5;92;156
9;Великобритания;67;3,5;39;8,8;91;91
10;Венгрия;73;1,7;40;10,9;73;106
11;Германия;88;6,8;35;8,1;138;73
12;Греция;83;1;24;8,8;99;108
13;Грузия;21;3,8;36;9,8;55;140
14;Дания;98;5;38;10,3;89;77
15;Ирландия;99;3,3;31;9,6;87;102
16;Испания;89;0,4;26;8,95;103;72
17;Италия;84;2,2;27;9,6;169;118
18;Казахстан;61;4,2;19,2;7,2;10;191
19;Канада;98;3,1;44;7,4;123;77
20;Киргизия;46;4,1;23,5;6,7;20;134
